idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
47932,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,18.0000,47.52000000,126559.2872
47932,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,13122.7789
47933,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,14928.1603
47935,21586,SPC Oferta 190L-07 3.5mm (0.3 wl) + 1.5mm EVA -,2.0000,6.66000000,13075.8900
47936,20217,"SPC Oferta Roble 3739-7 5.5 mm (4 + 1,5 EVA / 0.3",1.0000,1.76000000,4594.5796
47937,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,10.0000,22.00000000,61439.3000
47937,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,6024.0000
47938,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,26.0000,49.14000000,159979.4014
47938,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11852.9412
47939,21098,SPC Roble Roma 4 mm (0.3 wl) -,17.0000,34.85000000,138302.7588
47939,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10836.0563
47940,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17991.8198
47940,200141,SPC Oferta ORGW102-15 - -,29.0000,70.47000000,136829.8821
47942,19824,Flotante Oferta Kronotex Mix Roble Gris 12 mm Ofer,25.0000,32.50000000,63863.7800
47942,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,29.0000,29.00000000,7540.5365
47943,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,14845.0755
47943,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,30.0000,56.70000000,179416.6590
47945,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,15.0000,39.60000000,86346.4860
47945,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11282.1852
47946,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,28.0000,28.00000000,8809.0380
47946,19824,Flotante Oferta Kronotex Mix Roble Gris 12 mm Ofer,24.0000,31.20000000,74180.9016
47947,200111,Porcelanato Indiana - Rectificado - -,46.0000,77.74000000,222714.3562
47951,20228,SPC Roble Hacienda 1 Lama 8007 (Max Core 2da Gen),2.0000,5.28000000,20903.8754
47954,200115,Porcelanato Reserva Marfil - Rectificado - -,24.0000,40.56000000,149804.6136
47956,18274,Flotante Krono Original Natural Hickory VL-5943 Sa,13.0000,24.96000000,99810.0951
47956,17774,Mantos Ladix 3mmx0.80mmx1.25 mm - -,22.0000,22.00000000,6196.3401
47957,200111,Porcelanato Indiana - Rectificado - -,15.0000,25.35000000,70275.3525
47960,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,10.0000,35.40000000,140497.9243
47960,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14449.7116
47961,18053,Flotante Kronotex Fantasy Wood D-4779 Robusto -,6.0000,7.80000000,26012.3262
47963,200125,SPC Oferta 3678-3 - -,4.0000,8.84000000,19621.8663
47970,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,2.0000,5.28000000,14782.1000
47972,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,9.0000,23.76000000,60472.8324
47972,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,6584.5749
47975,200121,SPC Oferta ORGW404-4 6 mm -,5.0000,13.25000000,33818.2350
47978,200122,"SPC Oferta ORGW354-10 4,5 mm -",15.0000,43.95000000,112201.9500
47979,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10864.4400
47979,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,11.0000,29.04000000,81301.5500
47988,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,8.0000,21.12000000,59128.4000
47988,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9600
47989,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,19.0000,50.16000000,140429.9500
47989,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,18107.4000
47990,19816,SPC Metz 4 mm (0.3 wl) / Bisel + EIR -,12.0000,42.48000000,168157.9980
47990,20312,"SPC Makalu 5004 Antique 5,5mm (4mm + 0,5 wl + EVA",5.0000,13.20000000,62687.3555
47990,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14412.0418
47991,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,21.0000,39.69000000,155737.8039
47993,200115,Porcelanato Reserva Marfil - Rectificado - -,17.0000,28.73000000,106388.2100
47995,21681,SPC Surinda 2207 4 mm (0.5 wl) -,10.0000,26.40000000,93823.8000
47997,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,5.0000,13.20000000,30539.8185
47997,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5985.5821
