idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
48136,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,21.0000,55.44000000,127967.1015
48137,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17733.3096
48137,20230,SPC Abeto 8881 (Max Core 2da Gen) 4 mm (0.3 wl) -,16.0000,42.24000000,137165.9392
48139,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,15.0000,39.60000000,100696.7355
48139,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,34.0000,34.00000000,11089.4400
48147,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,5.0000,5.00000000,29057.9845
48147,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,35.0000,92.40000000,207564.8015
48155,19810,SPC Roble Munich (2319) 4 mm (0.3 wl) -,2.0000,5.40000000,18119.1000
48155,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3630.5800
48156,200153,SPC Oferta WR313501 8 mm -,9.0000,18.45000000,47090.2113
48157,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,3.0000,7.92000000,18000.9309
48161,200155,SPC Oferta CDW653EXL-02 4 mm -,13.0000,45.11000000,117479.5999
48161,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,13475.2608
48163,19368,Flotante Kronotex Eiche Rosemont D-3665 (Caja Exqu,5.0000,10.65000000,31683.1000
48163,17775,Mantos Ladix 5mmx0.80mmx1.25 mm - -,9.0000,9.00000000,3258.8100
48165,200161,"SPC Oferta JMW53409 4,5 mm -",40.0000,69.60000000,134551.5560
48169,18947,Flotante Kronotex Roble Hella D-4754 Exquisit -,6.0000,12.78000000,46574.9022
48173,20228,SPC Roble Hacienda 1 Lama 8007 (Max Core 2da Gen),8.0000,21.12000000,84246.8792
48173,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7261.1616
48174,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,3.0000,7.92000000,18000.9309
48176,200152,SPC Oferta JMW51908L - -,32.0000,90.24000000,190351.2800
48179,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,8956.8962
48179,20184,SPC Roble Bayonne 4 mm (0.3 wl) / Bisel -,15.0000,28.35000000,92993.4000
48188,21162,SPC Oferta 014 4 mm (0.3 wl) -,2.0000,4.34000000,10754.1896
48188,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3006.3757
